parent,child,value,placeholder,custom_text
VESTLAND,Kvinnherad,https://www.vilvite.no/skole-og-barnehage/8-10-trinn/kodekraft,VilVite,
VESTLAND,Luster,https://bestilling.vitemeir.no/booking/1/4/offers/31,Velg kommune,
VESTLAND,Lærdal,https://bestilling.vitemeir.no/booking/1/4/offers/31,Velg kommune,
VESTLAND,Masfjorden,https://bestilling.vitemeir.no/booking/1/4/offers/31,Velg kommune,
VESTLAND,Modalen,https://bestilling.vitemeir.no/booking/1/4/offers/31,Velg kommune,
VESTLAND,Osterøy,https://www.vilvite.no/skole-og-barnehage/8-10-trinn/kodekraft,VilVite,
VESTLAND,Samnanger,https://www.vilvite.no/skole-og-barnehage/8-10-trinn/kodekraft,VilVite,
VESTLAND,Sogndal,https://bestilling.vitemeir.no/booking/1/4/offers/31,Velg kommune,
VESTLAND,Solund,https://bestilling.vitemeir.no/booking/1/4/offers/31,Velg kommune,
VESTLAND,Stad,https://bestilling.vitemeir.no/booking/1/4/offers/31,Velg kommune,
VESTLAND,Stord,https://www.vilvite.no/skole-og-barnehage/8-10-trinn/kodekraft,VilVite,
VESTLAND,Stryn,https://bestilling.vitemeir.no/booking/1/4/offers/31,Velg kommune,
VESTLAND,Sunnfjord,https://bestilling.vitemeir.no/booking/1/4/offers/31,Velg kommune,
VESTLAND,Sveio,https://www.vilvite.no/skole-og-barnehage/8-10-trinn/kodekraft,Velg kommune,
VESTLAND,Tysnes,https://www.vilvite.no/skole-og-barnehage/8-10-trinn/kodekraft,Velg kommune,
VESTLAND,Ullensvang,https://www.vilvite.no/skole-og-barnehage/8-10-trinn/kodekraft,Velg kommune,
VESTLAND,Ulvik,https://www.vilvite.no/skole-og-barnehage/8-10-trinn/kodekraft,Velg kommune,
VESTLAND,Vaksdal,https://www.vilvite.no/skole-og-barnehage/8-10-trinn/kodekraft,Velg kommune,
VESTLAND,Vik,efl@vitemeir.no,ViteMeir,"Vennligst fyll ut feltene nedenfor. Din påmelding vil bli sendt til Erlend Fardal Lunde, ViteMeir Vitensenter. Vitensenteret vil kontakte deg for å avtale dato og tidspunkt for Kodekraft."
VESTLAND,Voss,https://www.vilvite.no/skole-og-barnehage/8-10-trinn/kodekraft,Velg kommune,
VESTLAND,Øygarden,https://www.vilvite.no/skole-og-barnehage/8-10-trinn/kodekraft,Velg kommune,
VESTLAND,Årdal,https://bestilling.vitemeir.no/booking/1/4/offers/31,Velg kommune,
